date,state,count
2020-03-26,Andaman and Nicobar Islands,1.0
2020-03-27,Andaman and Nicobar Islands,5.0
2020-03-28,Andaman and Nicobar Islands,3.0
2020-03-29,Andaman and Nicobar Islands,0.0
2020-03-30,Andaman and Nicobar Islands,1.0
2020-03-31,Andaman and Nicobar Islands,0.0
2020-04-01,Andaman and Nicobar Islands,0.0
2020-04-02,Andaman and Nicobar Islands,0.0
2020-04-03,Andaman and Nicobar Islands,0.0
2020-04-04,Andaman and Nicobar Islands,0.0
2020-04-05,Andaman and Nicobar Islands,0.0
2020-04-06,Andaman and Nicobar Islands,0.0
2020-04-07,Andaman and Nicobar Islands,0.0
2020-04-08,Andaman and Nicobar Islands,1.0
2020-04-09,Andaman and Nicobar Islands,0.0
2020-04-10,Andaman and Nicobar Islands,0.0
2020-04-11,Andaman and Nicobar Islands,0.0
2020-04-12,Andaman and Nicobar Islands,0.0
2020-04-13,Andaman and Nicobar Islands,0.0
2020-04-14,Andaman and Nicobar Islands,0.0
2020-04-15,Andaman and Nicobar Islands,0.0
2020-04-16,Andaman and Nicobar Islands,0.0
2020-04-17,Andaman and Nicobar Islands,1.0
2020-04-18,Andaman and Nicobar Islands,2.0
2020-04-19,Andaman and Nicobar Islands,1.0
2020-04-20,Andaman and Nicobar Islands,1.0
2020-04-21,Andaman and Nicobar Islands,1.0
2020-04-22,Andaman and Nicobar Islands,1.0
2020-04-23,Andaman and Nicobar Islands,4.0
2020-04-24,Andaman and Nicobar Islands,7.0
2020-04-25,Andaman and Nicobar Islands,4.0
2020-04-26,Andaman and Nicobar Islands,0.0
2020-04-27,Andaman and Nicobar Islands,0.0
2020-04-28,Andaman and Nicobar Islands,0.0
2020-04-29,Andaman and Nicobar Islands,0.0
2020-04-30,Andaman and Nicobar Islands,0.0
2020-05-01,Andaman and Nicobar Islands,0.0
2020-05-02,Andaman and Nicobar Islands,0.0
2020-05-03,Andaman and Nicobar Islands,0.0
2020-05-04,Andaman and Nicobar Islands,0.0
2020-05-05,Andaman and Nicobar Islands,0.0
2020-05-06,Andaman and Nicobar Islands,0.0
2020-05-07,Andaman and Nicobar Islands,0.0
2020-05-08,Andaman and Nicobar Islands,0.0
2020-05-09,Andaman and Nicobar Islands,0.0
2020-05-10,Andaman and Nicobar Islands,0.0
2020-05-11,Andaman and Nicobar Islands,0.0
2020-05-12,Andaman and Nicobar Islands,0.0
2020-05-13,Andaman and Nicobar Islands,0.0
2020-05-14,Andaman and Nicobar Islands,0.0
2020-05-15,Andaman and Nicobar Islands,0.0
2020-05-16,Andaman and Nicobar Islands,0.0
2020-05-17,Andaman and Nicobar Islands,0.0
2020-05-18,Andaman and Nicobar Islands,0.0
2020-05-19,Andaman and Nicobar Islands,0.0
2020-05-20,Andaman and Nicobar Islands,0.0
2020-05-21,Andaman and Nicobar Islands,0.0
2020-05-22,Andaman and Nicobar Islands,0.0
2020-05-23,Andaman and Nicobar Islands,0.0
2020-05-24,Andaman and Nicobar Islands,0.0
2020-05-25,Andaman and Nicobar Islands,0.0
2020-05-26,Andaman and Nicobar Islands,0.0
2020-05-27,Andaman and Nicobar Islands,0.0
2020-05-28,Andaman and Nicobar Islands,0.0
2020-05-29,Andaman and Nicobar Islands,0.0
2020-05-30,Andaman and Nicobar Islands,0.0
2020-05-31,Andaman and Nicobar Islands,0.0
2020-06-01,Andaman and Nicobar Islands,0.0
2020-06-02,Andaman and Nicobar Islands,0.0
2020-06-03,Andaman and Nicobar Islands,0.0
2020-06-04,Andaman and Nicobar Islands,0.0
2020-06-05,Andaman and Nicobar Islands,0.0
2020-06-06,Andaman and Nicobar Islands,0.0
2020-06-07,Andaman and Nicobar Islands,0.0
2020-06-08,Andaman and Nicobar Islands,0.0
2020-06-09,Andaman and Nicobar Islands,1.0
2020-06-10,Andaman and Nicobar Islands,1.0
2020-06-11,Andaman and Nicobar Islands,3.0
2020-06-12,Andaman and Nicobar Islands,0.0
2020-06-13,Andaman and Nicobar Islands,0.0
2020-06-14,Andaman and Nicobar Islands,2.0
2020-06-15,Andaman and Nicobar Islands,1.0
2020-06-16,Andaman and Nicobar Islands,3.0
2020-06-17,Andaman and Nicobar Islands,0.0
2020-06-18,Andaman and Nicobar Islands,1.0
2020-06-19,Andaman and Nicobar Islands,2.0
2020-06-20,Andaman and Nicobar Islands,0.0
2020-06-21,Andaman and Nicobar Islands,1.0
2020-06-22,Andaman and Nicobar Islands,0.0
2020-06-23,Andaman and Nicobar Islands,2.0
2020-06-24,Andaman and Nicobar Islands,6.0
2020-06-25,Andaman and Nicobar Islands,2.0
2020-06-26,Andaman and Nicobar Islands,14.0
2020-06-27,Andaman and Nicobar Islands,0.0
2020-06-28,Andaman and Nicobar Islands,11.0
2020-06-29,Andaman and Nicobar Islands,7.0
2020-06-30,Andaman and Nicobar Islands,7.0
2020-07-01,Andaman and Nicobar Islands,3.0
2020-07-02,Andaman and Nicobar Islands,9.0
2020-07-03,Andaman and Nicobar Islands,7.0
2020-07-04,Andaman and Nicobar Islands,3.0
2020-07-05,Andaman and Nicobar Islands,6.0
2020-07-06,Andaman and Nicobar Islands,16.0
2020-07-07,Andaman and Nicobar Islands,6.0
2020-07-08,Andaman and Nicobar Islands,2.0
2020-07-09,Andaman and Nicobar Islands,7.0
2020-07-10,Andaman and Nicobar Islands,0.0
2020-07-11,Andaman and Nicobar Islands,0.0
2020-07-12,Andaman and Nicobar Islands,7.0
2020-07-13,Andaman and Nicobar Islands,3.0
2020-07-14,Andaman and Nicobar Islands,5.0
2020-07-15,Andaman and Nicobar Islands,5.0
2020-07-16,Andaman and Nicobar Islands,4.0
2020-07-17,Andaman and Nicobar Islands,4.0
2020-07-18,Andaman and Nicobar Islands,4.0
2020-07-19,Andaman and Nicobar Islands,15.0
2020-07-20,Andaman and Nicobar Islands,4.0
2020-07-21,Andaman and Nicobar Islands,5.0
2020-07-22,Andaman and Nicobar Islands,9.0
2020-07-23,Andaman and Nicobar Islands,19.0
2020-07-24,Andaman and Nicobar Islands,19.0
2020-07-25,Andaman and Nicobar Islands,31.0
2020-07-26,Andaman and Nicobar Islands,28.0
2020-07-27,Andaman and Nicobar Islands,20.0
2020-07-28,Andaman and Nicobar Islands,25.0
2020-07-29,Andaman and Nicobar Islands,65.0
2020-07-30,Andaman and Nicobar Islands,42.0
2020-07-31,Andaman and Nicobar Islands,78.0
2020-08-01,Andaman and Nicobar Islands,88.0
2020-08-02,Andaman and Nicobar Islands,98.0
2020-08-03,Andaman and Nicobar Islands,96.0
2020-08-04,Andaman and Nicobar Islands,98.0
2020-08-05,Andaman and Nicobar Islands,99.0
2020-08-06,Andaman and Nicobar Islands,96.0
2020-08-07,Andaman and Nicobar Islands,99.0
2020-08-08,Andaman and Nicobar Islands,129.0
2020-08-09,Andaman and Nicobar Islands,139.0
2020-08-10,Andaman and Nicobar Islands,135.0
2020-08-11,Andaman and Nicobar Islands,139.0
2020-08-12,Andaman and Nicobar Islands,136.0
2020-08-13,Andaman and Nicobar Islands,137.0
2020-08-14,Andaman and Nicobar Islands,149.0
2020-08-15,Andaman and Nicobar Islands,120.0
2020-08-16,Andaman and Nicobar Islands,93.0
2020-08-17,Andaman and Nicobar Islands,46.0
2020-08-18,Andaman and Nicobar Islands,84.0
2020-08-19,Andaman and Nicobar Islands,75.0
2020-08-20,Andaman and Nicobar Islands,76.0
2020-08-21,Andaman and Nicobar Islands,67.0
2020-08-22,Andaman and Nicobar Islands,61.0
2020-08-23,Andaman and Nicobar Islands,52.0
2020-08-24,Andaman and Nicobar Islands,44.0
2020-08-25,Andaman and Nicobar Islands,41.0
2020-08-26,Andaman and Nicobar Islands,40.0
2020-08-27,Andaman and Nicobar Islands,33.0
2020-08-28,Andaman and Nicobar Islands,32.0
2020-08-29,Andaman and Nicobar Islands,31.0
2020-08-30,Andaman and Nicobar Islands,23.0
2020-08-31,Andaman and Nicobar Islands,28.0
2020-09-01,Andaman and Nicobar Islands,28.0
2020-09-02,Andaman and Nicobar Islands,26.0
2020-09-03,Andaman and Nicobar Islands,37.0
2020-09-04,Andaman and Nicobar Islands,34.0
2020-09-05,Andaman and Nicobar Islands,35.0
2020-09-06,Andaman and Nicobar Islands,40.0
2020-09-07,Andaman and Nicobar Islands,27.0
2020-09-08,Andaman and Nicobar Islands,33.0
2020-09-09,Andaman and Nicobar Islands,34.0
2020-09-10,Andaman and Nicobar Islands,39.0
2020-09-11,Andaman and Nicobar Islands,29.0
2020-09-12,Andaman and Nicobar Islands,27.0
2020-09-13,Andaman and Nicobar Islands,25.0
2020-09-14,Andaman and Nicobar Islands,11.0
2020-09-15,Andaman and Nicobar Islands,17.0
2020-09-16,Andaman and Nicobar Islands,19.0
2020-09-17,Andaman and Nicobar Islands,11.0
2020-09-18,Andaman and Nicobar Islands,27.0
2020-09-19,Andaman and Nicobar Islands,13.0
2020-09-20,Andaman and Nicobar Islands,7.0
2020-09-21,Andaman and Nicobar Islands,22.0
2020-09-22,Andaman and Nicobar Islands,18.0
2020-09-23,Andaman and Nicobar Islands,21.0
2020-09-24,Andaman and Nicobar Islands,32.0
2020-09-25,Andaman and Nicobar Islands,15.0
2020-09-26,Andaman and Nicobar Islands,15.0
2020-09-27,Andaman and Nicobar Islands,20.0
2020-09-28,Andaman and Nicobar Islands,9.0
2020-09-29,Andaman and Nicobar Islands,18.0
2020-09-30,Andaman and Nicobar Islands,14.0
2020-10-01,Andaman and Nicobar Islands,13.0
2020-10-02,Andaman and Nicobar Islands,10.0
2020-10-03,Andaman and Nicobar Islands,10.0
2020-10-04,Andaman and Nicobar Islands,16.0
2020-10-05,Andaman and Nicobar Islands,15.0
2020-10-06,Andaman and Nicobar Islands,13.0
2020-10-07,Andaman and Nicobar Islands,23.0
2020-10-08,Andaman and Nicobar Islands,17.0
2020-10-09,Andaman and Nicobar Islands,24.0
2020-10-10,Andaman and Nicobar Islands,16.0
2020-10-11,Andaman and Nicobar Islands,13.0
2020-10-12,Andaman and Nicobar Islands,18.0
2020-10-13,Andaman and Nicobar Islands,13.0
2020-10-14,Andaman and Nicobar Islands,10.0
2020-10-15,Andaman and Nicobar Islands,16.0
2020-10-16,Andaman and Nicobar Islands,10.0
2020-10-17,Andaman and Nicobar Islands,11.0
2020-10-18,Andaman and Nicobar Islands,25.0
2020-10-19,Andaman and Nicobar Islands,18.0
2020-10-20,Andaman and Nicobar Islands,15.0
2020-10-21,Andaman and Nicobar Islands,27.0
2020-10-22,Andaman and Nicobar Islands,16.0
2020-10-23,Andaman and Nicobar Islands,23.0
2020-10-24,Andaman and Nicobar Islands,18.0
2020-10-25,Andaman and Nicobar Islands,20.0
2020-10-26,Andaman and Nicobar Islands,8.0
2020-10-27,Andaman and Nicobar Islands,21.0
